CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
253450-09-8,Besonprodil,5.31,11.898,18.465,41.555,0.313473,0.315603,0.317719,,,,
491-80-5,Biochanin a,230.0,17.162,26.803,47.877,5.069784,5.105317,5.150667,,,,
33171-05-0,Bisdemethoxycurcumin,112.0,23.781,41.885,73.525,0.059914,0.084497,0.127984,,,,
1478-61-1,Bisphenol af,125.0,27.574,54.409,105.483,2.200106,2.224792,2.274408,,,,
22260-51-1,Bromocriptine mesylate,178.0,6.818,31.089,187.88,8.218289,8.419231,9.276421,,,,
569-61-9,C.i. basic red 9 monohydrochloride,3.23,3.791,7.342,11.913,1.196984,1.199304,1.204966,,,,
509-34-2,C.i. solvent red 49,13.9,12.616,20.765,33.397,0.177678,0.178295,0.179348,,,,
63449-41-2,C8-18-alkydimethylbenzyl ammonium chlorides,63.1,23.785,45.358,87.272,1.28082,1.29211,1.313432,,,,
1260-17-9,Carminic acid,88.8,5.417,13.452,31.295,0.479504,0.947873,2.166431,,,,
120-80-9,Catechol,42.3,15.555,29.192,86.102,0.492874,0.4965,0.50131,,,,
480-40-0,Chrysin,204.0,37.573,76.389,182.354,0.387736,0.397364,0.41448,,,,
637-07-0,Clofibrate,868.0,40.815,89.149,245.162,12.053234,17.597385,27.914377,,,,
23593-75-1,Clotrimazole,77.1,25.193,51.63,119.129,1.138259,1.149629,1.170687,,,,
50-22-6,Corticosterone,12.1,5.904,9.156,14.24,2.032397,2.03743,2.045196,,,,
230954-09-3,Cp-544439,2.27,4.484,7.235,10.858,0.737592,0.739632,0.743381,,,,
458-37-7,Curcumin,297.0,17.48,39.164,92.207,0.221994,0.368316,0.683832,,,,
120116-88-3,Cyazofamid,10.0,5.662,10.496,18.787,0.948019,0.95479,0.967886,,,,
4449-51-8,Cyclopamine,29.4,12.956,18.374,24.421,22.85861,22.894776,22.955857,,,,
68359-37-5,Cyfluthrin,23.8,13.594,19.871,27.75,0.208352,0.271063,0.37303,,,,
57966-95-7,Cymoxanil,32.8,2.715,5.508,10.168,16.437268,16.464574,16.525851,,,,
