DTXSID,CAS,Compound,MW,logP,Fup,AC50_10pct_uM,SEEM_mg_kg_day,Clint_httk,Clint_GCN,Clint_RF,CL_httk,CL_GCN,CL_RF,AED_httk,AED_GCN,AED_RF,BER_httk,BER_GCN,BER_RF,BER_httk_ref,concern_httk,concern_GCN,concern_RF
DTXSID5034303,81406-37-3,Fluroxypyr-meptyl,367.2,4.529,0.005,1.0,,0.0,10.3931,8.9966,0.0,1.284013,1.255941,0.0,11.315747,11.068357,,,,,no_data,no_data,no_data
DTXSID3024235,85509-19-9,Flusilazole,315.4,3.701,0.02893,1.0,,6.959,0.2524,6.7063,1.437582,0.682713,1.435331,10.881919,5.167866,10.864883,,,,,no_data,no_data,no_data
DTXSID8024109,66332-96-5,Flutolanil,323.3,3.702,0.01882,1.0,,14.17,16.8715,8.7665,1.452393,1.459812,1.424526,11.26941,11.326972,11.053181,,,,,no_data,no_data,no_data
DTXSID7034753,173159-57-4,Foramsulfuron,452.4,0.7454,0.0649,1.0,,0.0,3.5766,12.2092,0.0,1.445563,1.483633,0.0,15.695343,16.108694,,,,,no_data,no_data,no_data
DTXSID1034634,68157-60-8,Forchlorfenuron,247.7,3.199,0.02755,1.0,,26.87,0.653,6.3931,1.482494,1.009495,1.429076,8.813133,6.001246,8.495568,,,,,no_data,no_data,no_data
DTXSID4032405,23422-53-9,Formetanate hydrochloride,257.7,-0.4626,0.8853,1.0,,13.72,11.7563,2.8538,1.498921,1.498741,1.494828,9.270528,9.269415,9.245213,,,,,no_data,no_data,no_data
DTXSID0034930,98886-44-3,Fosthiazate,283.3,1.681,0.4599,1.0,,0.0,83.3035,78.697,0.0,1.499658,1.499638,0.0,10.196474,10.196337,,,,,no_data,no_data,no_data
DTXSID9034650,100784-20-1,Halosulfuron-methyl,434.8,-0.01661,0.009462,1.0,,0.0,1.1166,14.8814,0.0,0.820857,1.412324,0.0,8.56581,14.737882,,,,,no_data,no_data,no_data
DTXSID4034653,79983-71-4,Hexaconazole,314.2,3.899,0.041,1.0,,16.22,0.1314,18.1787,1.480539,0.571965,1.482612,11.164451,4.313075,11.180079,,,,,no_data,no_data,no_data
DTXSID4024145,51235-04-2,Hexazinone,252.3,1.849,0.613,1.0,,6.361,4.4065,30.8901,1.496645,1.495162,1.499308,9.062484,9.053502,9.078609,,,,,no_data,no_data,no_data
DTXSID7024299,78587-05-0,Hexythiazox,352.9,2.905,0.005,1.0,,110.4,39.0208,7.515,1.476617,1.435677,1.216905,12.506354,12.159612,10.306701,,,,,no_data,no_data,no_data
DTXSID0034227,119515-38-7,Icaridin,229.3,2.534,0.2842,1.0,,12.56,41.5648,2.847,1.496336,1.498891,1.483968,8.234635,8.248696,8.166573,,,,,no_data,no_data,no_data
DTXSID8024151,35554-44-0,Imazalil,297.2,3.818,0.02956,1.0,,0.0,1.108,5.9847,0.0,1.184003,1.429373,0.0,8.445258,10.19543,,,,,no_data,no_data,no_data
DTXSID3034664,114311-32-9,Imazamox,305.3,0.7307,0.4548,1.0,,0.0,1.6182,12.872,0.0,1.482393,1.497764,0.0,10.86179,10.974413,,,,,no_data,no_data,no_data
DTXSID5034270,104098-48-8,Imazapic,275.3,2.464,0.5468,1.0,,0.0,1.2471,13.8853,0.0,1.481015,1.498275,0.0,9.785364,9.899403,,,,,no_data,no_data,no_data
DTXSID8034665,81334-34-1,Imazapyr,261.3,0.2237,0.9231,1.0,,0.0,0.775,15.3104,0.0,1.481893,1.499073,0.0,9.293249,9.400986,,,,,no_data,no_data,no_data
DTXSID3024152,81335-37-7,Imazaquin,311.3,1.861,0.1513,1.0,,2.457,0.997,3.6503,1.465539,1.417839,1.476629,10.949335,10.592957,11.03219,,,,,no_data,no_data,no_data
DTXSID3024287,81335-77-5,Imazethapyr,289.3,1.446,0.2895,1.0,,2.351,1.3683,64.7717,1.48098,1.467614,1.499301,10.282737,10.189938,10.409947,,,,,no_data,no_data,no_data
DTXSID5032442,138261-41-3,Imidacloprid,255.7,0.5735,0.6559,1.0,,2.807,4.6468,3.9951,1.492912,1.49571,1.495013,9.161702,9.178875,9.174595,,,,,no_data,no_data,no_data
DTXSID1032690,173584-44-6,Indoxacarb,527.8,4.647,0.005,1.0,,31.36,17.6015,8.1037,1.420794,1.364475,1.233822,17.99748,17.284076,15.629064,,,,,no_data,no_data,no_data
DTXSID2034673,144550-36-7,Iodosulfuron-methyl-sodium,529.2,1.881,0.006681,1.0,,5.691,1.4038,4.6623,1.219609,0.776388,1.1713,15.490007,9.860745,14.876442,,,,,no_data,no_data,no_data
DTXSID3024154,36734-19-7,Iprodione,330.2,2.998,0.005,1.0,,11.7,13.7091,20.4259,1.305002,1.330348,1.381737,10.341883,10.542738,10.949991,,,,,no_data,no_data,no_data
DTXSID7034676,42509-80-8,Isazofos,313.7,3.819,0.06539,1.0,,19.53,0.4195,20.1036,1.489803,1.137516,1.490092,11.216426,8.564134,11.218602,,,,,no_data,no_data,no_data
